VCD info: dumpfile soc_top_tb.vcd opened for output.
[TB] Applying System Reset Initialization...
Time=4550ns | PC=0x0000037c | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=4570ns | PC=0x00000380 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=4590ns | PC=0x00000384 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=4610ns | PC=0x00000388 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=4630ns | PC=0x0000038c | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=4650ns | PC=0x00000390 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=4670ns | PC=0x00000394 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=4690ns | PC=0x00000398 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=4710ns | PC=0x0000039c | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=4730ns | PC=0x000003a0 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=4750ns | PC=0x000003a4 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=4770ns | PC=0x000003a8 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=4790ns | PC=0x000003ac | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=4810ns | PC=0x000003b0 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=4830ns | PC=0x000003b4 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=4850ns | PC=0x000003b8 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=4870ns | PC=0x000003bc | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=4890ns | PC=0x000003c0 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=4910ns | PC=0x000003c4 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=4930ns | PC=0x000003c8 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=4950ns | PC=0x000003cc | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=4970ns | PC=0x000003d0 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=4990ns | PC=0x000003d4 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=5010ns | PC=0x000003d8 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=5030ns | PC=0x000003dc | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=5050ns | PC=0x000003e0 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=5070ns | PC=0x000003e4 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=5090ns | PC=0x000003e8 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=5110ns | PC=0x000003ec | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=5130ns | PC=0x000003f0 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=5150ns | PC=0x000003f4 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=5170ns | PC=0x000003f8 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=5190ns | PC=0x000003fc | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=5210ns | PC=0x00000400 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=5230ns | PC=0x00000404 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=5250ns | PC=0x00000408 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
